table_name,conname,contype,def
hosts,hosts_code_format_chk,c,"CHECK (((code)::text ~ '^[A-Z]{1,6}_[A-Z]{1,6}_[0-9]{3}$'::text))"
hosts,hosts_display_name_nonempty_chk,c,CHECK ((char_length(btrim((display_name)::text)) > 0))
hosts,hosts_display_name_unique,u,UNIQUE (display_name)
hosts,hosts_pkey,p,PRIMARY KEY (code)
parties,parties_created_by_fkey,f,FOREIGN KEY (created_by) REFERENCES auth.users(id)
parties,parties_day_check,c,"CHECK (((day)::text = ANY ((ARRAY['friday'::character varying, 'saturday'::character varying])::text[])))"
parties,parties_host_codes_clean_chk,c,CHECK (((host_codes IS NULL) OR ((NOT (host_codes && ARRAY[NULL::text])) AND (NOT (''::text = ANY (host_codes))))))
parties,parties_pkey,p,PRIMARY KEY (id)
parties,parties_status_check,c,"CHECK (((status)::text = ANY ((ARRAY['pending'::character varying, 'approved'::character varying, 'rejected'::character varying])::text[])))"
party_going,party_going_party_id_fkey,f,FOREIGN KEY (party_id) REFERENCES parties(id) ON DELETE CASCADE
party_going,party_going_party_id_user_id_key,u,"UNIQUE (party_id, user_id)"
party_going,party_going_pkey,p,PRIMARY KEY (id)
party_going,party_going_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
party_ratings,party_ratings_party_id_fkey,f,FOREIGN KEY (party_id) REFERENCES parties(id) ON DELETE CASCADE
party_ratings,party_ratings_party_id_ip_hash_key,u,"UNIQUE (party_id, ip_hash)"
party_ratings,party_ratings_pkey,p,PRIMARY KEY (id)
party_ratings,party_ratings_rating_check,c,"CHECK ((rating = ANY (ARRAY[0, 1])))"
user_profiles,user_profiles_id_fkey,f,FOREIGN KEY (id) REFERENCES auth.users(id)
user_profiles,user_profiles_pkey,p,PRIMARY KEY (id)
user_profiles,user_profiles_username_key,u,UNIQUE (username)
