tablename,indexname,indexdef
hosts,hosts_display_name_unique,CREATE UNIQUE INDEX hosts_display_name_unique ON public.hosts USING btree (display_name)
hosts,hosts_pkey,CREATE UNIQUE INDEX hosts_pkey ON public.hosts USING btree (code)
parties,parties_host_codes_gin,CREATE INDEX parties_host_codes_gin ON public.parties USING gin (host_codes)
parties,parties_pkey,CREATE UNIQUE INDEX parties_pkey ON public.parties USING btree (id)
party_going,party_going_party_id_user_id_key,"CREATE UNIQUE INDEX party_going_party_id_user_id_key ON public.party_going USING btree (party_id, user_id)"
party_going,party_going_pkey,CREATE UNIQUE INDEX party_going_pkey ON public.party_going USING btree (id)
party_ratings,idx_party_ratings_ip_hash,CREATE INDEX idx_party_ratings_ip_hash ON public.party_ratings USING btree (ip_hash)
party_ratings,idx_party_ratings_party_id,CREATE INDEX idx_party_ratings_party_id ON public.party_ratings USING btree (party_id)
party_ratings,party_ratings_party_id_ip_hash_key,"CREATE UNIQUE INDEX party_ratings_party_id_ip_hash_key ON public.party_ratings USING btree (party_id, ip_hash)"
party_ratings,party_ratings_pkey,CREATE UNIQUE INDEX party_ratings_pkey ON public.party_ratings USING btree (id)
user_profiles,user_profiles_pkey,CREATE UNIQUE INDEX user_profiles_pkey ON public.user_profiles USING btree (id)
user_profiles,user_profiles_username_key,CREATE UNIQUE INDEX user_profiles_username_key ON public.user_profiles USING btree (username)
