grantee,table_name,privilege_type
anon,hosts,DELETE
anon,hosts,INSERT
anon,hosts,REFERENCES
anon,hosts,SELECT
anon,hosts,TRIGGER
anon,hosts,TRUNCATE
anon,hosts,UPDATE
authenticated,hosts,DELETE
authenticated,hosts,INSERT
authenticated,hosts,REFERENCES
authenticated,hosts,SELECT
authenticated,hosts,TRIGGER
authenticated,hosts,TRUNCATE
authenticated,hosts,UPDATE
service_role,hosts,DELETE
service_role,hosts,INSERT
service_role,hosts,REFERENCES
service_role,hosts,SELECT
service_role,hosts,TRIGGER
service_role,hosts,TRUNCATE
service_role,hosts,UPDATE
anon,parties,DELETE
anon,parties,INSERT
anon,parties,REFERENCES
anon,parties,SELECT
anon,parties,TRIGGER
anon,parties,TRUNCATE
anon,parties,UPDATE
authenticated,parties,DELETE
authenticated,parties,INSERT
authenticated,parties,REFERENCES
authenticated,parties,SELECT
authenticated,parties,TRIGGER
authenticated,parties,TRUNCATE
authenticated,parties,UPDATE
service_role,parties,DELETE
service_role,parties,INSERT
service_role,parties,REFERENCES
service_role,parties,SELECT
service_role,parties,TRIGGER
service_role,parties,TRUNCATE
service_role,parties,UPDATE
anon,party_going,DELETE
anon,party_going,INSERT
anon,party_going,REFERENCES
anon,party_going,SELECT
anon,party_going,TRIGGER
anon,party_going,TRUNCATE
anon,party_going,UPDATE
authenticated,party_going,DELETE
authenticated,party_going,INSERT
authenticated,party_going,REFERENCES
authenticated,party_going,SELECT
authenticated,party_going,TRIGGER
authenticated,party_going,TRUNCATE
authenticated,party_going,UPDATE
service_role,party_going,DELETE
service_role,party_going,INSERT
service_role,party_going,REFERENCES
service_role,party_going,SELECT
service_role,party_going,TRIGGER
service_role,party_going,TRUNCATE
service_role,party_going,UPDATE
anon,party_ratings,DELETE
anon,party_ratings,INSERT
anon,party_ratings,REFERENCES
anon,party_ratings,SELECT
anon,party_ratings,TRIGGER
anon,party_ratings,TRUNCATE
anon,party_ratings,UPDATE
authenticated,party_ratings,DELETE
authenticated,party_ratings,INSERT
authenticated,party_ratings,REFERENCES
authenticated,party_ratings,SELECT
authenticated,party_ratings,TRIGGER
authenticated,party_ratings,TRUNCATE
authenticated,party_ratings,UPDATE
service_role,party_ratings,DELETE
service_role,party_ratings,INSERT
service_role,party_ratings,REFERENCES
service_role,party_ratings,SELECT
service_role,party_ratings,TRIGGER
service_role,party_ratings,TRUNCATE
service_role,party_ratings,UPDATE
anon,user_profiles,DELETE
anon,user_profiles,INSERT
anon,user_profiles,REFERENCES
anon,user_profiles,SELECT
anon,user_profiles,TRIGGER
anon,user_profiles,TRUNCATE
anon,user_profiles,UPDATE
authenticated,user_profiles,DELETE
authenticated,user_profiles,INSERT
authenticated,user_profiles,REFERENCES
authenticated,user_profiles,SELECT
authenticated,user_profiles,TRIGGER
authenticated,user_profiles,TRUNCATE
authenticated,user_profiles,UPDATE
service_role,user_profiles,DELETE
service_role,user_profiles,INSERT
service_role,user_profiles,REFERENCES
service_role,user_profiles,SELECT
service_role,user_profiles,TRIGGER
service_role,user_profiles,TRUNCATE
service_role,user_profiles,UPDATE
